ColumnName,abs_coef_mean_xgb,abs_coef_mean_lasso,coef_boruta,coef_sum
LotConfig_Frontage on 3 sides of property,0.007963936889556725,0.0025238003961408216,0.06046511627906981,0.1419057071295347
ExterCond_Excellent,0.00781367392937641,0.05529998083189572,0.023255813953488413,0.17273893742952107
Condition1_Adjacent to postive off-site feature,0.007062359128474831,9.584052137243626e-05,0.08837209302325577,0.19106058534620607
RoofStyle_Gabrel (Barn),0.006611570247933884,0.005526803399143824,0.3441860465116279,0.7126488403174112
SaleType_Contract Low Interest,0.006160781367392938,3.1946840457478754e-05,0.023255813953488413,0.05889708432267766
Functional_Major Deductions 1,0.006160781367392938,0.015046961855472493,0.5395348837209302,1.1214852538875912
BldgType_2fmCon,0.006160781367392938,0.012491214618874194,0.3023255813953488,0.641955154763232
BsmtFinType1_Unfinshed,0.006010518407212622,3.1946840457478754e-05,0.5581395348837209,1.128364000262782
BsmtFinType2_Unfinshed,0.005709992486851991,0.00012778736182991502,0.40930232558139534,0.8302802108601545
OverallQual_Very Excellent,0.005559729526671675,0.3062424126253913,0.49302325581395345,1.609650795932033
SaleType_Home just constructed and sold,0.00540946656649136,0.04689796179157881,0.37209302325581395,0.8488009032277682
MasVnrType_None,0.005259203606311044,0.00015973420228739378,0.43255813953488376,0.8759541546869644
Functional_Minor Deductions 2,0.0049586776859504135,0.007763082231167336,0.46976744186046515,0.9649784035551658
Foundation_Stone,0.004808414725770098,0.026835345984282152,0.051162790697674376,0.16561310281545327
